generation,average_score,best_score,worst_score,mean_winning_rate
0,-296.46666666666664,813,-716,0.02
1,-238.73333333333332,1743,-650,0.04
2,-306.2,862,-708,0.02
3,-298.8,1119,-681,0.02666666666666667
4,-306.06666666666666,1115,-679,0.02666666666666667
5,-221.66666666666666,1588,-635,0.05333333333333334
6,-26.8,1335,-614,0.060000000000000005
7,416.8,1272,-595,0.14
8,892.0,1502,393,0.24000000000000002
9,1030.2,1424,587,0.2866666666666667
10,1035.7333333333333,1641,621,0.3
11,1103.7333333333333,1462,583,0.3333333333333333
12,994.2,1393,529,0.26666666666666666
13,1076.0666666666666,1443,603,0.3266666666666667
14,970.8666666666667,1429,499,0.3
15,996.0666666666667,1507,294,0.2866666666666667
16,1037.4666666666667,1512,340,0.3333333333333333
17,1082.0666666666666,1579,476,0.30666666666666664
18,992.2666666666667,1561,537,0.23333333333333334
19,1163.8666666666666,1724,586,0.36000000000000004
20,1056.4666666666667,1546,822,0.32
21,1054.6,1468,433,0.30666666666666664
22,922.1333333333333,1275,668,0.23333333333333334
23,1052.9333333333334,1387,615,0.31333333333333335
24,1073.4,1340,774,0.3266666666666667
25,925.1333333333333,1765,646,0.26
26,1053.5333333333333,1559,480,0.33999999999999997
27,916.6666666666666,1490,530,0.24000000000000002
28,1020.5333333333333,1539,519,0.28
29,999.6,1455,518,0.2733333333333333
30,991.4,1355,586,0.2866666666666667
31,1048.6,1575,476,0.3066666666666667
32,988.5333333333333,1384,499,0.29333333333333333
33,1069.4,1442,747,0.3466666666666667
34,1067.6666666666667,1699,612,0.29333333333333333
35,1008.2666666666667,1454,755,0.2866666666666667
36,1022.9333333333333,1636,800,0.2733333333333333
37,1068.4666666666667,1731,387,0.3333333333333333
38,1060.1333333333334,1415,742,0.32
39,1024.5333333333333,1512,399,0.3
40,1070.6666666666667,1559,629,0.28
41,1016.6,1555,630,0.26
42,960.1333333333333,1405,668,0.28
43,1171.2666666666667,1951,772,0.38666666666666666
44,974.7333333333333,1385,534,0.26
45,1039.6,1832,471,0.29333333333333333
46,1179.8,1662,808,0.38666666666666666
47,984.6,1404,719,0.26
48,1047.1333333333334,1402,497,0.28
49,1106.2666666666667,1761,658,0.36000000000000004
50,1082.4,1626,698,0.32
51,934.8666666666667,1587,334,0.22666666666666666
52,962.5333333333333,1356,363,0.24000000000000002
53,948.6,1454,589,0.26
54,940.6,1417,419,0.24000000000000002
55,1040.0666666666666,1433,618,0.3
56,948.6,1476,605,0.24000000000000002
57,987.5333333333333,1355,650,0.2866666666666667
58,979.8,1563,613,0.2866666666666667
59,1020.2,1583,173,0.33999999999999997
60,907.4666666666667,1201,533,0.23333333333333334
61,1002.3333333333334,1309,750,0.29333333333333333
62,1011.4,1448,554,0.3
63,1011.8,1616,646,0.28
