geration,id,w1,w2,w3,averageScore,winRate,scores
0,0,-4.037763791450288,0.7658240184012541,3.044266248688249,-558.6,0.0,"[-557.0, -713.0, -437.0, -527.0, -694.0, -709.0, -628.0, -556.0, -341.0, -424.0]"
0,1,-4.585401822500259,7.512252112620118,-13.61861367617312,839.1,0.1,"[695.0, 1477.0, 431.0, -61.0, 195.0, 1160.0, 1075.0, 819.0, 523.0, 2077.0]"
0,2,1.740829670510525,0.3473098074027803,7.706989675103003,-643.7,0.0,"[-599.0, -534.0, -568.0, -783.0, -681.0, -975.0, -549.0, -530.0, -527.0, -691.0]"
0,3,3.367313023224181,10.429793840240237,-12.330426451194661,-568.8,0.0,"[-1346.0, -260.0, -156.0, -560.0, -960.0, -1108.0, 33.0, -295.0, -504.0, -532.0]"
0,4,-18.338802279099813,-14.199546584247917,-3.7313173119933474,-73.6,0.0,"[336.0, -185.0, -257.0, -77.0, -194.0, -357.0, 130.0, 148.0, -194.0, -86.0]"
0,5,-13.612217036228827,0.3725117944942866,9.699161862765266,-612.7,0.0,"[-547.0, -540.0, -531.0, -771.0, -543.0, -637.0, -541.0, -643.0, -588.0, -786.0]"
0,6,11.817049255314622,-3.0540537515994934,-3.4030712263622966,-224.7,0.0,"[-336.0, -329.0, -270.0, -160.0, -132.0, -218.0, -167.0, -175.0, -275.0, -185.0]"
0,7,-13.79987931500108,-17.64727465060252,4.264838393122329,-596.5,0.0,"[-528.0, -643.0, -757.0, -582.0, -543.0, -548.0, -643.0, -599.0, -566.0, -556.0]"
0,8,3.530518495438308,16.53581306219297,-1.579410143738869,17.9,0.0,"[88.0, -46.0, 10.0, 318.0, -319.0, -560.0, 94.0, 357.0, 18.0, 219.0]"
0,9,4.282294086562079,16.009894674383993,-13.788704523490036,-41.6,0.0,"[-1372.0, 346.0, -237.0, 244.0, -157.0, 27.0, 201.0, -343.0, -290.0, 1165.0]"
0,10,2.5510896703213284,9.721340871340075,2.1576613288249114,-526.9,0.0,"[-324.0, -606.0, -540.0, -665.0, 120.0, -659.0, -552.0, -695.0, -587.0, -761.0]"
0,11,11.364696866761062,-18.22722636813916,-12.1663491975198,-72.6,0.0,"[-176.0, -40.0, -347.0, 59.0, -221.0, -140.0, -230.0, 63.0, 581.0, -275.0]"
0,12,-2.346184877072549,3.717229814462506,-13.096735663644395,1499.7,0.4,"[1136.0, 2301.0, 2311.0, 472.0, 855.0, 2676.0, 2351.0, 1051.0, 513.0, 1331.0]"
0,13,-0.29760496824989247,4.6219440479328355,9.026216772170393,-623.0,0.0,"[-546.0, -218.0, -758.0, -715.0, -523.0, -671.0, -830.0, -616.0, -542.0, -811.0]"
0,14,-8.012470573323682,14.510739012648209,-8.553910845322399,1380.1,0.4,"[686.0, 2324.0, 170.0, 1204.0, 2005.0, 614.0, 2163.0, 973.0, 1010.0, 2652.0]"
1,0,-2.346184877072549,3.717229814462506,-13.096735663644395,1065.1,0.3,"[2309.0, 2089.0, 369.0, 1830.0, 1502.0, 652.0, -68.0, 361.0, 566.0, 1041.0]"
1,1,-8.012470573323682,14.510739012648209,-8.553910845322399,1200.2,0.3,"[63.0, 2361.0, 1124.0, 2521.0, 2303.0, 1210.0, 352.0, 359.0, 1002.0, 707.0]"
1,2,-4.585401822500259,7.512252112620118,-13.61861367617312,1454.1,0.4,"[1370.0, 1055.0, 417.0, 2315.0, 2621.0, 158.0, 2637.0, 289.0, 2370.0, 1309.0]"
1,3,3.530518495438308,16.53581306219297,-1.579410143738869,-156.4,0.0,"[-83.0, -393.0, -302.0, -561.0, 423.0, -4.0, -359.0, 47.0, -272.0, -60.0]"
1,4,4.282294086562079,16.009894674383993,-13.788704523490036,117.9,0.0,"[207.0, 251.0, -387.0, 278.0, -38.0, 436.0, -184.0, 741.0, -302.0, 177.0]"
