test_id,iterations,population_size,map_size,mutation_rate,experiment_duration,best_fitness
1,10,10,10,0.01,0.43051695823669434,455.0
2,10,10,11,0.01,0.5655019283294678,410.0
3,10,10,15,0.01,1.1688239574432373,240.0
4,10,10,20,0.01,1.4752240180969238,0.0
5,10,10,10,0.05,0.4259979724884033,430.0
6,10,10,11,0.05,0.6467299461364746,445.0
7,10,10,15,0.05,1.067229986190796,305.0
8,10,10,20,0.05,1.5323610305786133,0.0
9,10,10,10,0.1,0.4649178981781006,465.0
10,10,10,11,0.1,0.5376310348510742,415.0
11,10,10,15,0.1,1.0136139392852783,0.0
12,10,10,20,0.1,1.3896551132202148,0.0
13,10,100,10,0.01,3.957710027694702,470.0
14,10,100,11,0.01,5.742246150970459,425.0
15,10,100,15,0.01,10.937676906585693,260.0
16,10,100,20,0.01,12.062958002090454,0.0
17,10,100,10,0.05,4.087193012237549,480.0
18,10,100,11,0.05,5.130177974700928,445.0
19,10,100,15,0.05,10.274659872055054,305.0
20,10,100,20,0.05,12.606986999511719,0.0
21,10,100,10,0.1,3.9336049556732178,450.0
22,10,100,11,0.1,5.292801141738892,445.0
23,10,100,15,0.1,10.004437923431396,275.0
24,10,100,20,0.1,12.138972043991089,0.0
25,10,100,10,0.01,4.50612998008728,465.0
26,10,100,11,0.01,5.126570224761963,445.0
27,10,100,15,0.01,6.845016002655029,0.0
28,10,100,20,0.01,11.903303146362305,0.0
29,10,100,10,0.05,4.293431043624878,480.0
30,10,100,11,0.05,5.088730096817017,425.0
31,10,100,15,0.05,10.768878936767578,345.0
32,10,100,20,0.05,12.441466093063354,0.0
33,10,100,10,0.1,4.437288999557495,465.0
34,10,100,11,0.1,5.362916946411133,420.0
35,10,100,15,0.1,9.830645084381104,320.0
36,10,100,20,0.1,12.778119087219238,0.0
37,100,10,10,0.01,4.956326007843018,505.0
38,100,10,11,0.01,5.989303112030029,495.0
39,100,10,15,0.01,12.224707841873169,350.0
40,100,10,20,0.01,15.12052321434021,0.0
41,100,10,10,0.05,4.509948968887329,485.0
42,100,10,11,0.05,5.517714977264404,430.0
43,100,10,15,0.05,9.384960889816284,0.0
44,100,10,20,0.05,13.530462980270386,0.0
45,100,10,10,0.1,4.391797780990601,410.0
46,100,10,11,0.1,4.566628932952881,0.0
47,100,10,15,0.1,7.316030979156494,0.0
48,100,10,20,0.1,12.348057985305786,0.0
